,Provinsi,Y,X1,X2,X3,X4
1,ACEH,0.013736264,0.106723586,0.000104471,0.014293882,0.005172771
2,SUMATERA UTARA,0.013753266,0.104384134,9.52E-05,0.014444605,0.001351607
3,SUMATERA BARAT,0.013650014,0.110253583,9.27E-05,0.014369881,0.007266914
4,RIAU,0.013601741,0.108813928,9.31E-05,0.013952839,0.005499945
5,JAMBI,0.013861935,0.11627907,9.44E-05,0.014041,0.007852992
6,SUMATERA SELATAN,0.014104372,0.120481928,9.38E-05,0.014289797,0.00269179
7,BENGKULU,0.013858093,0.112739572,9.54E-05,0.014405071,0.009931473
8,LAMPUNG,0.014194464,0.123762376,9.96E-05,0.014138272,0.004259307
9,KEP. BANGKA BELITUNG,0.013842746,0.123762376,7.80E-05,0.014138272,0.03776435
10,KEP. RIAU,0.013078734,0.098231827,7.08E-05,0.014261266,0.008156607
11,DKI JAKARTA,0.012247397,0.089525515,5.40E-05,0.013696754,0.001991873
12,JAWA BARAT,0.013676149,0.116144019,9.15E-05,0.013655606,0.000332186
13,JAWA TENGAH,0.013738151,0.129032258,9.06E-05,0.013428226,0.000549979
14,DI YOGYAKARTA,0.012400794,0.10373444,7.09E-05,0.013326226,0.003169974
15,JAWA TIMUR,0.013745704,0.126903553,8.54E-05,0.014009526,0.000580902
16,BANTEN,0.013638843,0.111982083,8.31E-05,0.014281634,0.001765256
17,BALI,0.013082156,0.110375276,7.24E-05,0.013842746,0.007349699
18,NUSA TENGGARA BARAT,0.014396775,0.135501355,9.64E-05,0.014994752,0.002618898
19,NUSA TENGGARA TIMUR,0.015174507,0.130039012,0.00013238,0.014892033,0.007886435
20,KALIMANTAN BARAT,0.014570887,0.134228188,0.000111433,0.014132278,0.011759172
21,KALIMANTAN TENGAH,0.013960631,0.115740741,8.94E-05,0.0143287,0.01671123
22,KALIMANTAN SELATAN,0.013919822,0.119904077,8.24E-05,0.014528549,0.012858429
23,KALIMANTAN TIMUR,0.012913223,0.101626016,8.25E-05,0.013403029,0.00809127
24,KALIMANTAN UTARA,0.01392176,0.109769484,0.000110193,0.013764625,0.037664783
25,SULAWESI UTARA,0.0135483,0.103950104,9.19E-05,0.01393534,0.014200511
26,SULAWESI TENGAH,0.014228799,0.112485939,0.000106633,0.014528549,0.011079105
27,SULAWESI SELATAN,0.013732491,0.11820331,8.94E-05,0.014152279,0.004795473
28,SULAWESI TENGGARA,0.013844663,0.109529025,0.000106598,0.014031149,0.01429797
29,GORONTALO,0.014324595,0.126582278,9.85E-05,0.014664907,0.047596383
30,SULAWESI BARAT,0.014943216,0.125628141,0.000109254,0.01532567,0.035727045
31,MALUKU,0.014240957,0.099700897,0.000114025,0.015130882,0.022163121
32,MALUKU UTARA,0.014394703,0.110011001,0.00012285,0.014609204,0.052383447
33,PAPUA BARAT,0.01517681,0.130039012,0.000126119,0.015119444,0.033932813
34,PAPUA,0.016289298,0.147928994,0.000143781,0.015167602,0.019735544
