"","X","Provinsi","Y","X1","X2","X3","X4"
"1",1,"ACEH",0.013736264,1.419302751,-1.864382538,-13.24506468,-4.074561737
"2",2,"SUMATERA UTARA",0.013753266,1.074380299,-8.499613887,-2.732032848,1.603270603
"3",3,"SUMATERA BARAT",0.013650014,2.621702091,72.51693697,-4.489262594,-2.993837
"4",4,"RIAU",0.013601741,1.958144738,-94.32654208,1.65275038,-3.791996004
"5",5,"JAMBI",0.013861935,-8.01149573,-12.91124881,2.347641307,-2.854274968
"6",6,"SUMATERA SELATAN",0.014104372,-2.232340394,-22.71351255,-14.80600817,26.36403984
"7",7,"BENGKULU",0.013858093,6.023910912,-8.12527856,-3.4433965,-2.546262007
"8",8,"LAMPUNG",0.014194464,-1.46000431,-3.068592767,4.329988199,-5.571270611
"9",9,"KEP. BANGKA BELITUNG",0.013842746,-1.46000431,1.074954024,4.329988199,-1.957916369
"10",10,"KEP. RIAU",0.013078734,0.634095885,0.658402993,-84.58481897,-2.794157875
"11",11,"DKI JAKARTA",0.012247397,0.378299295,0.285276856,0.878464444,4.072900649
"12",12,"JAWA BARAT",0.013676149,-8.768136994,12.68496471,0.815722975,0.23615819
"13",13,"JAWA TENGAH",0.013738151,-0.961184323,8.064343323,0.581596209,0.427594514
"14",14,"DI YOGYAKARTA",0.012400794,1.004624226,0.660563927,0.513806863,-19.53556538
"15",15,"JAWA TIMUR",0.013745704,-1.110671822,2.33649679,2.042330078,0.457720098
"16",16,"BANTEN",0.013638843,4.33589192,1.73839678,-19.37203337,2.873409318
"17",17,"BALI",0.013082156,2.697888306,0.723371395,1.2020637,-2.971905531
"18",18,"NUSA TENGGARA BARAT",0.014396775,-0.694964623,-5.788417455,-0.726265979,18.3911692
"19",19,"NUSA TENGGARA TIMUR",0.015174507,-0.904968268,-0.690662843,-0.837637682,-2.847295938
"20",20,"KALIMANTAN BARAT",0.014570887,-0.733394358,-1.239952897,4.117140586,-2.394519029
"21",21,"KALIMANTAN TENGAH",0.013960631,-12.23460976,5.239633898,-6.985336644,-2.184859226
"22",22,"KALIMANTAN SELATAN",0.013919822,-2.469897745,1.60018241,-1.903959598,-2.330015367
"23",23,"KALIMANTAN TIMUR",0.012913223,0.825884175,1.632032015,0.56334103,-2.806503829
"24",24,"KALIMANTAN UTARA",0.01392176,2.355618894,-1.314299843,1.004948443,-1.958343197
"25",25,"SULAWESI UTARA",0.0135483,1.026847533,18.06831027,1.560377482,-2.268241014
"26",26,"SULAWESI TENGAH",0.014228799,5.331975199,-1.602567183,-1.903959598,-2.443081369
"27",27,"SULAWESI SELATAN",0.013732491,-3.628194618,5.214949465,4.923957761,-4.520038585
"28",28,"SULAWESI TENGGARA",0.013844663,2.241853209,-1.60605489,2.242863407,-2.264320517
"29",29,"GORONTALO",0.014324595,-1.137898096,-3.674701259,-1.282165198,-1.925128435
"30",30,"SULAWESI BARAT",0.014943216,-1.228221524,-1.378113888,-0.5128199,-1.967165156
"31",31,"MALUKU",0.014240957,0.70647478,-1.112808323,-0.618928256,-2.078551474
"32",32,"MALUKU UTARA",0.014394703,2.481548206,-0.845170562,-1.478294985,-1.913878547
"33",33,"PAPUA BARAT",0.01517681,-0.904968268,-0.782166555,-0.626646132,-1.976315379
"34",34,"PAPUA",0.016289298,-0.474666063,-0.5819205,-0.595460146,-2.117395901
