,Provinsi,Y,X1,X2,X3,X4
1,ACEH,4.689727842,1.419302751,-1.864382538,-13.24506468,-4.074561737
2,SUMATERA UTARA,5.258743195,1.074380299,-8.499613887,-2.732032848,1.603270603
3,SUMATERA BARAT,3.019706361,2.621702091,72.51693697,-4.489262594,-2.993837
4,RIAU,2.513751012,1.958144738,-94.32654208,1.65275038,-3.791996004
5,JAMBI,22.70984647,-8.01149573,-12.91124881,2.347641307,-2.854274968
6,SUMATERA SELATAN,-3.651583243,-2.232340394,-22.71351255,-14.80600817,26.36403984
7,BENGKULU,20.34133487,6.023910912,-8.12527856,-3.4433965,-2.546262007
8,LAMPUNG,-2.569265854,-1.46000431,-3.068592767,4.329988199,-5.571270611
9,KEP. BANGKA BELITUNG,14.35340946,-1.46000431,1.074954024,4.329988199,-1.957916369
10,KEP. RIAU,0.868422626,0.634095885,0.658402993,-84.58481897,-2.794157875
11,DKI JAKARTA,0.402896602,0.378299295,0.285276856,0.878464444,4.072900649
12,JAWA BARAT,3.386759535,-8.768136994,12.68496471,0.815722975,0.23615819
13,JAWA TENGAH,4.746796828,-0.961184323,8.064343323,0.581596209,0.427594514
14,DI YOGYAKARTA,0.449821949,1.004624226,0.660563927,0.513806863,-19.53556538
15,JAWA TIMUR,4.989672813,-1.110671822,2.33649679,2.042330078,0.457720098
16,BANTEN,2.885672397,4.33589192,1.73839678,-19.37203337,2.873409318
17,BALI,0.872306652,2.697888306,0.723371395,1.2020637,-2.971905531
18,NUSA TENGGARA BARAT,-1.555177103,-0.694964623,-5.788417455,-0.726265979,18.3911692
19,NUSA TENGGARA TIMUR,-0.642814576,-0.904968268,-0.690662843,-0.837637682,-2.847295938
20,KALIMANTAN BARAT,-1.168506638,-0.733394358,-1.239952897,4.117140586,-2.394519029
21,KALIMANTAN TENGAH,-11.53265247,-12.23460976,5.239633898,-6.985336644,-2.184859226
22,KALIMANTAN SELATAN,-30.41869343,-2.469897745,1.60018241,-1.903959598,-2.330015367
23,KALIMANTAN TIMUR,0.712887032,0.825884175,1.632032015,0.56334103,-2.806503829
24,KALIMANTAN UTARA,-28.21819221,2.355618894,-1.314299843,1.004948443,-1.958343197
25,SULAWESI UTARA,2.117941606,1.026847533,18.06831027,1.560377482,-2.268241014
26,SULAWESI TENGAH,-2.310548839,5.331975199,-1.602567183,-1.903959598,-2.443081369
27,SULAWESI SELATAN,4.579609923,-3.628194618,5.214949465,4.923957761,-4.520038585
28,SULAWESI TENGGARA,14.90174195,2.241853209,-1.60605489,2.242863407,-2.264320517
29,GORONTALO,-1.807379441,-1.137898096,-3.674701259,-1.282165198,-1.925128435
30,SULAWESI BARAT,-0.772695778,-1.228221524,-1.378113888,-0.5128199,-1.967165156
31,MALUKU,-2.231250057,0.70647478,-1.112808323,-0.618928256,-2.078551474
32,MALUKU UTARA,-1.561402206,2.481548206,-0.845170562,-1.478294985,-1.913878547
33,PAPUA BARAT,-0.641757008,-0.904968268,-0.782166555,-0.626646132,-1.976315379
34,PAPUA,-0.368752442,-0.474666063,-0.5819205,-0.595460146,-2.117395901
